# x0 response
2005.000000 2268598904116.279785
1993.000000 442874596387.119019
2000.000000 1205260678391.959961
1986.000000 298805792971.544006
1971.000000 98562023844.181305
1962.000000 46685178504.327400
1992.000000 424934065934.065979
2003.000000 1649928718134.590088
2006.000000 2729784031906.089844
1990.000000 358973230048.398987
1964.000000 59062254890.187103
1970.000000 91506211306.374496
1988.000000 310722213686.031006
1982.000000 203549627211.605988
1991.000000 381454703832.752991
2009.000000 5059419738267.410156
1997.000000 958159424835.339966
1967.000000 72057028559.674103
1974.000000 142254742077.705994
1987.000000 271349773463.863007
1995.000000 732032045217.765991
2010.000000 6039658508485.589844
1978.000000 148382111520.191986
2012.000000 8461623162714.070312
1994.000000 562261129868.774048
1975.000000 161162492226.686005
1965.000000 69709153115.314697
1989.000000 345957485871.286011
1976.000000 151627687364.404999
2013.000000 9490602600148.490234
1980.000000 189649992463.987000
2008.000000 4558431073438.200195
1968.000000 69993497892.313202
1973.000000 136769878359.667999
1985.000000 307479585852.338989
1977.000000 172349014326.931000
2001.000000 1332234719889.820068
2014.000000 10354831729340.400391
1998.000000 1025276902078.729980
1961.000000 49557050182.963097
1972.000000 112159813640.376007
2002.000000 1461906487857.919922
1984.000000 258082147252.256012
1966.000000 75879434776.183105
