# x0 response
0.833333 0.215549
0.611111 0.038435
0.740741 0.112394
0.481481 0.024458
0.203704 0.005033
0.037037 0.000000
0.592593 0.036694
0.796296 0.155532
0.851852 0.260289
0.555556 0.030295
0.074074 0.001201
0.185185 0.004348
0.518519 0.025614
0.407407 0.015218
0.574074 0.032476
0.907407 0.486289
0.685185 0.088423
0.129630 0.002461
0.259259 0.009271
0.500000 0.021795
0.648148 0.066486
0.925926 0.581382
0.333333 0.009866
0.962963 0.816339
0.629630 0.050016
0.277778 0.011106
0.092593 0.002234
0.537037 0.029033
0.296296 0.010181
0.981481 0.916161
0.370370 0.013869
0.888889 0.437687
0.148148 0.002261
0.240741 0.008739
0.462963 0.025300
0.314815 0.012191
0.759259 0.124712
1.000000 1.000000
0.703704 0.094934
0.018519 0.000279
0.222222 0.006352
0.777778 0.137292
0.444444 0.020508
0.111111 0.002832
